number,picname,Class,confidence
1169,c01169.jpg,Basketball,1.0
1170,c01170.jpg,Basketball,1.0
1171,c01171.jpg,Basketball,1.0
1172,c01172.jpg,Basketball,1.0
1173,c01173.jpg,Basketball,1.0
1174,c01174.jpg,Basketball,1.0
1175,c01175.jpg,Basketball,1.0
1176,c01176.jpg,Basketball,1.0
1177,c01177.jpg,Basketball,1.0
1178,c01178.jpg,Basketball,1.0
1179,c01179.jpg,Basketball,1.0
1180,c01180.jpg,Basketball,1.0
1181,c01181.jpg,Basketball,1.0
1182,c01182.jpg,Basketball,1.0
1183,c01183.jpg,Basketball,1.0
1184,c01184.jpg,Basketball,0.98
1185,c01185.jpg,Basketball,1.0
1186,c01186.jpg,Basketball,1.0
1187,c01187.jpg,Basketball,1.0
1188,c01188.jpg,Basketball,1.0
1189,c01189.jpg,Basketball,0.99
1190,c01190.jpg,Basketball,1.0
1191,c01191.jpg,Basketball,1.0
1192,c01192.jpg,Basketball,1.0
1193,c01193.jpg,Basketball,1.0
1194,c01194.jpg,Basketball,1.0
1195,c01195.jpg,Basketball,1.0
1196,c01196.jpg,Basketball,1.0
1197,c01197.jpg,Basketball,1.0
1198,c01198.jpg,Basketball,0.99
1199,c01199.jpg,Basketball,0.99
1200,c01200.jpg,Basketball,1.0
1201,c01201.jpg,Basketball,1.0
1202,c01202.jpg,Basketball,1.0
1203,c01203.jpg,Basketball,1.0
1204,c01204.jpg,Basketball,0.99
1205,c01205.jpg,Basketball,0.99
1206,c01206.jpg,Basketball,0.99
1207,c01207.jpg,Basketball,1.0
1208,c01208.jpg,Basketball,1.0
1209,c01209.jpg,Basketball,1.0
1210,c01210.jpg,Basketball,0.99
1211,c01211.jpg,Basketball,1.0
1212,c01212.jpg,Basketball,0.99
1213,c01213.jpg,Basketball,1.0
1214,c01214.jpg,Basketball,0.99
1215,c01215.jpg,Basketball,1.0
1216,c01216.jpg,Basketball,0.99
1217,c01217.jpg,Basketball,0.99
1218,c01218.jpg,Basketball,1.0
1219,c01219.jpg,Basketball,1.0
1220,c01220.jpg,Basketball,1.0
1221,c01221.jpg,Basketball,1.0
1222,c01222.jpg,Basketball,1.0
1223,c01223.jpg,Basketball,1.0
1224,c01224.jpg,Basketball,1.0
1225,c01225.jpg,Basketball,1.0
1226,c01226.jpg,Basketball,1.0
1227,c01227.jpg,Basketball,0.99
1228,c01228.jpg,Basketball,0.99
1229,c01229.jpg,Basketball,0.99
1230,c01230.jpg,Basketball,1.0
1231,c01231.jpg,Basketball,1.0
1232,c01232.jpg,Basketball,1.0
1233,c01233.jpg,Basketball,1.0
1234,c01234.jpg,Basketball,1.0
1235,c01235.jpg,Basketball,1.0
1236,c01236.jpg,Basketball,1.0
1237,c01237.jpg,Basketball,1.0
1238,c01238.jpg,Basketball,1.0
1239,c01239.jpg,Basketball,1.0
1240,c01240.jpg,Basketball,0.99
1241,c01241.jpg,Basketball,1.0
1242,c01242.jpg,Basketball,1.0
1243,c01243.jpg,Basketball,1.0
1244,c01244.jpg,Basketball,0.99
1245,c01245.jpg,Basketball,0.98
1247,c01247.jpg,Basketball,1.0
1248,c01248.jpg,Basketball,1.0
1249,c01249.jpg,Basketball,1.0
